SEED	1	0	0.001	64	0.3333
SEED	1	1	0.001	64	0.3341
SEED	1	2	0.001	64	0.3348
SEED	1	3	0.001	64	0.3393
SEED	1	9	0.001	64	0.4702
SEED	1	10	0.001	64	0.5595
SEED	1	11	0.001	64	0.6369
SEED	1	12	0.001	64	0.6823
SEED	1	13	0.001	64	0.7240
SEED	1	15	0.001	64	0.8021
SEED	1	17	0.001	64	0.8824
SEED	1	19	0.001	64	0.8996
SEED	1	20	0.001	64	0.9070
SEED	1	23	0.001	64	0.9278
SEED	1	24	0.001	64	0.9516
SEED	1	28	0.001	64	0.9725
SEED	1	36	0.001	64	0.9807
SEED	1	42	0.001	64	1.0000
SEED	2	0	0.001	64	0.3400
SEED	2	8	0.001	64	0.6376
SEED	2	9	0.001	64	0.6406
SEED	2	10	0.001	64	0.6890
SEED	2	11	0.001	64	0.7098
SEED	2	12	0.001	64	0.8207
SEED	2	13	0.001	64	0.8356
SEED	2	14	0.001	64	0.9033
SEED	2	16	0.001	64	0.9286
SEED	2	17	0.001	64	0.9420
SEED	2	19	0.001	64	0.9487
SEED	2	20	0.001	64	0.9948
SEED	2	27	0.001	64	0.9963
SEED	2	33	0.001	64	1.0000
SEED	3	0	0.001	64	0.3348
SEED	3	1	0.001	64	0.3363
SEED	3	3	0.001	64	0.3393
SEED	3	11	0.001	64	0.6295
SEED	3	12	0.001	64	0.6711
SEED	3	13	0.001	64	0.6823
SEED	3	15	0.001	64	0.7961
SEED	3	17	0.001	64	0.8676
SEED	3	18	0.001	64	0.8943
SEED	3	19	0.001	64	0.9144
SEED	3	22	0.001	64	0.9397
SEED	3	25	0.001	64	0.9740
SEED	3	26	0.001	64	0.9792
SEED	3	28	0.001	64	0.9940
SEED	3	29	0.001	64	0.9955
SEED	3	35	0.001	64	1.0000
